category,subcategory,question,required,answer-1,score-1,answer-2,score-2,answer-3,score-3,answer-4,score-4,answer-5,score-5,answer-6,score-6
22,33,"Have your organizational needs to support technical, business, and operational metadata been identified and defined?",1,"No, it has never been discussed",1,It has been discussed informally,2,"We have had discussions with stakeholders and documented their requirements, but they are not yet integrated into the Metadata management plan.",3,"Yes, we understand how each different stakeholder group wishes to use meta data and meta data is being used sporadically according to the definitions",4,"Yes, we understand how each different stakeholder group wishes to use meta data and have started planning on how to achieve this practically across the business",5,"Yes, we understand how each different stakeholder group wishes to use meta data and have aligned out plans and systems to achieve this",6
22,33,Does your organization have a formal data classification policy in place?,1,Non-existent: We do not have a formal data classification policy in place. Data classification is not recognized or considered in any structured way.,1,Recognized need: We recognize the need for a data classification policy but have not yet developed or implemented one. Initial discussions or plans may be in process.,2,Informally implemented: There is an informal or partial data classification policy in place. It may not be fully documented or consistently applied across the organization.,3,"Formally implemented: We have a formal data classification policy that is documented and implemented. However, it may not be fully comprehensive or optimized.",4,"Fully integrated: The data classification policy is fully integrated into the organization's operations. It is comprehensive, well-understood across departments, and actively enforced with regular training and updates.",5,"Continuously improved: We not only has a fully integrated data classification policy but also regularly reviews and updates the policy to adapt to new data types, technological advances, and regulatory changes. The policy is at the forefront of best practices in data classification.",6
22,33,Are all employees aware of and trained on the data classification policy?,1,Unaware: I am completely unaware of the data classification policy. No training or communication has been provided.,1,"Slightly aware: A small percentage of employees are aware of the data classification policy, typically those directly involved with data management. Training is sporadic and not comprehensive.",2,"Moderately aware: A moderate portion of employees are aware of the data classification policy. Basic training sessions have been conducted, but they do not cover all aspects of the policy or do not reach all employees.",3,"Mostly aware: Most employees are aware of the data classification policy. Regular training is provided, covering significant parts of the organization, though some employees may still lack full understanding.",4,"Fully aware: All employees are aware of the data classification policy. Comprehensive training is conducted regularly, ensuring that every employee understands the policy thoroughly.",5,"Continuously informed: Not only are all employees fully aware and trained on the data classification policy, but continuous education and updates are provided.",6
22,33,Is there a clear set of criteria used for classifying data in your organization?,1,Non-existent: There are no set criteria for classifying data. Data classification occurs randomly or not at all.,1,Vague criteria: Criteria exist but are vague and inconsistently applied. There is significant ambiguity about how data should be classified.,2,Basic criteria: Basic criteria for classifying data are defined but cover only the most general aspects. The criteria may not be sufficient for all data types or uses.,3,"Defined criteria: A clear and more detailed set of criteria for classifying data is established. These criteria are known and used by relevant personnel, although some areas might still lack depth.",4,"Comprehensive criteria: Criteria for classifying data are comprehensive and well-documented. They cover all relevant aspects of data types, usage, and security requirements.",5,"Continuously refined criteria: The criteria are not only comprehensive but also continuously reviewed and refined based on new data needs, regulatory changes, and technological advancements.",6
22,33,How frequently is data categorically reviewed and updated to reflect current classification needs?,1,"Never: Data classification is never reviewed or updated. Once established, classification remains static regardless of changes in data or business needs.",1,"Rarely: Data is rarely reviewed, and its classification is seldom updated. Reviews and updates only occur in response to significant issues or major organizational changes.",2,"Occasionally: Data classification is occasionally reviewed and updated, perhaps in a scheduled review that happens every few years, but not frequently enough to keep pace with regular changes in data use or regulatory requirements.",3,Annually: Data classification is systematically reviewed and updated on an annual basis. This regular update schedule helps ensure that classification remains relatively current with organizational needs.,4,Semi-annually: Data classification is reviewed and updated twice a year. This frequency allows the organization to promptly adapt to moderate changes in the environment or operations.,5,"Continuously: Data classification is continuously monitored, reviewed, and updated. The organization uses real-time data monitoring and adaptive classification systems that adjust classifications as soon as changes in data usage, regulatory requirements, or business needs are detected.",6
22,33,Are security measures and access controls implemented based on the classification level of the data?,1,Not implemented: Security measures and access controls are not implemented based on the classification level of the data. There is no differentiation in how data is protected regardless of its sensitivity.,1,Minimally implemented: Minimal security measures are implemented based on the classification level of the data. Basic controls might exist but are not comprehensive or fully aligned with the data classification.,2,"Partially implemented: Security measures and access controls are partially implemented according to the classification level. Key data assets might have appropriate controls, but many data items are not adequately protected based on their sensitivity.",3,Mostly implemented: Most of the data is protected with security measures and access controls that reflect its classification level. There are still some gaps or inconsistencies in how different classes of data are secured.,4,Fully implemented: All data is protected with comprehensive security measures and access controls that are fully aligned with its classification level. Security practices are consistently applied across all data types and classifications.,5,"Optimized: Security measures and access controls are not only fully implemented but are also continuously optimized and monitored. The organization proactively adapts, and updates security practices based on evolving threats and changes in data classification.",6
22,33,How often are classification policies and procedures audited for compliance and effectiveness?,1,Never audited: Classification policies and procedures are never audited. There is no review process in place to assess their compliance or effectiveness.,1,"Rarely audited: Audits of classification policies and procedures occur rarely, possibly only after significant issues or breaches have been identified.",2,"Occasionally audited: Classification policies and procedures are audited occasionally, perhaps once every few years, without a regular schedule.",3,"Annually audited: Classification policies and procedures are audited annually. These regular audits help to maintain compliance and assess the effectiveness, though they may not catch all issues promptly.",4,"Semi-annually audited: Audits are conducted semi-annually, providing a more frequent check on the compliance and effectiveness of classification policies and procedures.",5,Continuously monitored: Classification policies and procedures are continuously monitored and audited. This includes real-time assessments and frequent reviews that ensure immediate compliance and the effectiveness of all classification efforts.,6
22,33,"Has your organization experienced any issues due to misclassification of data (e.g. data breaches, compliance fines)?",1,Issues due to misclassification of data occur very frequently. These incidents are common and indicate significant weaknesses in data classification practices.,1,"Problems related to misclassification happen frequently, suggesting that there are regular failings in maintaining correct data classification standards.",2,The organization occasionally experiences issues due to misclassification of data. These incidents are not constant but happen enough to signal a need for improvement in classification procedures.,3,"Issues arising from misclassification of data are rare. Most of the time, data is correctly classified, but infrequent lapses still occur.",4,"The organization very rarely faces problems due to misclassification of data. This rarity indicates that data classification practices are generally robust, with only sporadic issues.",5,"The organization has never experienced issues related to misclassification of data. This level indicates optimal data classification practices and compliance, reflecting a mature data management strategy.",6
22,33,How often do employees receive training on data classification responsibilities?,1,Never: Employees never receive training on data classification responsibilities. There is no formal training program in place.,1,"Rarely: Training on data classification responsibilities is provided very rarely, possibly only during onboarding or only after significant issues occur.",2,"Occasionally: Employees receive training on data classification responsibilities occasionally, perhaps once every few years or as part of sporadic initiatives.",3,"Annually: Training is provided annually, ensuring that all employees receive regular updates and refreshers on their data classification responsibilities.",4,"Semi-Annually: Employees are trained semi-annually, allowing for more frequent updates and reinforcement of data classification practices.",5,"Continuously: Training on data classification responsibilities is an ongoing and integral part of the job. Employees receive continuous training through regular updates, workshops, and e-learning modules that ensure they remain well-informed about current practices and changes.",6
22,33,How confident are you that your answers for this section are correct and offer a fair and balanced view?,1,Very low confidence: Individuals feel highly uncertain and lack confidence in their ability to answer any questions regarding metadata. Knowledge is minimal or absent.,1,"Low confidence: Some basic understanding exists, but individuals still feel unsure about their ability to discuss or accurately answer questions related to metadata.",2,Moderate confidence: Individuals have a fair level of confidence. They can answer standard questions correctly but might struggle with more complex issues related to metadata.,3,High confidence: Respondents are confident in their ability to answer most questions related to metadata accurately and can discuss the topic with some depth.,4,"Very high confidence: Individuals have strong knowledge and understanding, allowing them to confidently answer almost all questions related to metadata with detailed and accurate responses.",5,"Expert confidence: At this level, individuals possess expert-level knowledge and can answer all questions with ease, including providing insights into complex scenarios and potential changes in the metadata.",6
8,7,"Do you have documentation and/or an enterprise model of your data, showing how it interacts with different systems?",1,"No, we have nothing.",1,We have started documenting our data model.,2,We have the core data domains documented logically but do not have a physical representation.,3,"We have a complete data model, but it is not linked to systems or business architecture.",4,We have a full enterprise data model which is aligned to our system architecture. They are only diagrams though and are not traceable.,5,We have a full enterprise data model which is linked to our system and business architectures and is tracible and auditable.,6
8,7,Do you have defined and documented data flow diagrams detailing how data flows through your organisation and who uses it?,1,"No, we have nothing",1,We have started documenting our data flows,2,We have core data flows documented as simple diagrams,3,We have all data flows documented but they are not linked to our data domains or systems,4,We have all data flows documented and linked to our data domain,5,We have all data flows documented and integrated into our data and business architecture which are full7 tracible,6
8,7,"In your organization, is there a strategy to reduce the number of non-regulatory changes made to databases?",1,"No, regulations are not considered in any way",1,"No, but we do check the regulations when we make changes",2,"No, we do at least question whether this change is a regulatory enforcement and if we really have to do it, but there is nothing more",3,"Partial, changes that are not regulator related are discouraged but probably only about half of all changes",4,"Mostly, changes to databases and data stores but not strictly limited to those required by regulation",5,"Yes, changes to databases, data stores or the data domain definitions is strictly controlled and as far as possible limited to regulatory enforced changes",6
8,7,Do you validate your data models against industry standards or best practice?,1,No,1,we based our initial data model off an industry standard when we started but have not reviewed it subsequently,2,We have decided on which standard to use and have validated our design against on several occasions it but do not have a regular cadence,3,We periodically compare if a single best practice or standard,4,"Yes, we regular compare our data models to various industry standards and best practice",5,"Yes, we regular compare our data models to various industry standards and best practice and actively engage in update those standards as the industry evolves",6
8,7,"In your organization, do you use internal controls that certify reports for financial and compliance purposes?",1,"No, we don’t even have internal controls or know what certifications are required",1,"No, we recognised this as a gap and have plans to implement controls",2,We have implemented controls but do not use them consistently,3,"Mostly, most of the time finance or compliance are certified against a set of controls",4,"Yes, finance or compliance are certified against a set of controls internally but not always in a consistent and repeatable way",5,"Yes, we have a robust and well utilised framework for finance or compliance that are certified and appropriate",6
8,7,"In your organization, how do you rate the quality of the internal controls that certify reports for financial and compliance purposes?",1,We do not have any controls,1,Poor,2,"moderate, we would pass most audits but not all",3,Good enough to pass an audit (just),4,High quality but could be more comprehensive,5,High quality and comprehensive,6
8,7,"In your organization, do you use systems for monitoring database changes made by users?",1,No,1,We have plans in place to implement database monitoring,2,We have implemented database monitoring on some of our systems but not all,3,"Yes, we have comprehensive database mentoring, but it is passive and has to be reviewed by IT personal",4,"Yes, we have comprehensive real-time active database mentoring",5,"Yes, we have comprehensive real-time active database mentoring and anomaly detection",6
8,7,"In your organization, do you audit changes made to critical data?",1,"No, we don’t even have critical data classified",1,"No, but we do know what critical data should be audited",2,We have started implementing full auditing on all critical data,3,Most changes are audited,4,"Yes, all changes are fully audited",5,"Yes, all changes are fully audited and automatically reviewed for anomaly detection",6
8,7,"In your organization, how do you rate the quality of the critical data changes audit checks?",1,Nonexistent,1,Poor,2,Moderate. We would pass most audits but not all,3,Good enough to pass audits (just),4,High quality but could be more comprehensive,5,High quality and comprehensive,6
8,7,How confident are you that your answers for this section are correct and offer a fair and balanced view?,1,Very low confidence: Individuals feel highly uncertain and lack confidence in their ability to answer any questions regarding modelling and design. Knowledge is minimal or absent.,1,"Low confidence: Some basic understanding exists, but individuals still feel unsure about their ability to discuss or accurately answer questions related to modelling and design.",2,Moderate confidence: Individuals have a fair level of confidence. They can answer standard questions correctly but might struggle with more complex issues related to modelling and design.,3,High confidence: Respondents are confident in their ability to answer most questions related to modelling and design accurately and can discuss the topic with some depth.,4,"Very high confidence: Individuals have strong knowledge and understanding, allowing them to confidently answer almost all questions related to modelling and design with detailed and accurate responses.",5,"Expert confidence: At this level, individuals possess expert-level knowledge and can answer all questions with ease, including providing insights into complex scenarios and potential changes in the modelling and design.",6
20,31,Do staff know how to use data to make decisions or evaluate the performance of themselves and their business units?,1,Users do not know their own data requirements or how to use them.,1,Users have some data requirements and have started to take the first steps to use BI; low support from senior executives.,2,"There is a formal plan in place to increase the use of BI across the organization, but it has not been fully implemented.",3,Users try to optimize the efficiency of individual departments by BI.,4,"Users have high BI capabilities, but often not aligned with the right role.",5,"Users have capabilities and time to use BI; skill training in BI; users are encouraged to collect, process, analyze and share information; CEO passion and broad-based management commitment.",6
20,31,Do staff know how to access and share data? ,1,Users do not know business processes or procedures to get access to and share data,1,"Identification of basic business data sharing processes, procedures and the establishment of central business intelligence capability has begun",2,"Fragmented use of BI, with pockets of knowledge on sharing and data sourcing",3,"Standardization of business intelligence processes, procedures and building best practices in BI",4,"Knowledge sharing is mature, and users know how to access information.",5,"Broadly supported, process-oriented culture based on facts, learning and sharing of knowledge",6
20,31,Does your organization use data to measure benefits of its initiatives? ,1,No,1,Very little but it does occasionally occur.,2,"Low benefits limited to small group of users, better access to data and static reporting.",3,Benefits limited to departments and business units; improvement of internal business processes and decision making on operational level.,4,"Benefits for the whole organization; integrated analysis for finance, logistics, production; improvement of decision making on all levels of management.",5,Benefits for the whole environment; competing in BI; new ways of doing business.,6
20,31,Does your organisation have standardised tooling to allow consistent access to business intelligence?,1,No,1,"No, but most of us use similar tooling - mainly excel.",2,"We have evaluated BI, but have not yet implemented anything.",3,"We have some tooling, but it is not consistent across the whole organization.",4,We have comprehensive standard tooling which is easy to use.,5,"We have comprehensive standard tooling, which is easy to use, and AI enabled to facility additional insights and data correlations.",6
20,31,Are members of the organization aware of how to treat data as an organizational asset?,1,Unaware.  Members of the organization are generally unaware of the importance of data as an asset. There is no recognition of data’s value or its potential impact.,1,"Basic awareness.  Some members are aware of the concept of data as an asset, but understanding is superficial and not widely shared across the organization.",2,"Moderate awareness.  A fair number of organizational members understand that data is an asset and have basic knowledge of how to handle it properly, though this awareness is not yet consistent or comprehensive.",3,High awareness.  Most members of the organization recognize data as a crucial asset and understand the principles of data management.,4,"Advanced awareness.  There is a strong, organization-wide awareness of the value of data. Members are well-trained in data management, and practices are systematically implemented to leverage data effectively.",5,Fully integrated awareness.  Awareness of data as a critical organizational asset is fully integrated into all levels of the organization.,6
20,31,How confident are you that your answers for this section are correct and offer a fair and balanced view?,1,0% confident,1,20-30% confident,2,40-50% confident,3,60-70% confident,4,80-90% confident,5,100% confident,6
9,11,Is senior management fully committed to data and its importance?,1,"No, they are not even aware of data storage",1,"No, but they are aware that we are working on it as a priority",2,There is some mostly informal support,3,"We have significant support for data initiatives, but it is not a key priority for leadership",4,"Yes, we have sponsorship from our immediate leaderships team",5,"Yes, the organisation is led from the top with a data mandate with budget committed to it",6
9,11,Are funding and budgeting sufficient to address storage now and in the future?,1,"No, we have no budget",1,"Data is bundled into the general IT budget, so is more operational and not clearly allocated",2,"There is a separate data budget to IT, but it is still managed by technology",3,"We have some budget sitting with IT and Some budget allocated to data owners, but the teams generally work well together",4,"Yes, we have departmental budget allocated for specific data projects and the data owners",5,"Yes, we have appropriate budget allocated from the executive for strategic data initiatives and owned by business data owners",6
9,11,"Is the data storage infrastructure current, and does it address longer-term requirements?",1,No,1,"No, but we have a plan to upgrade it",2,We are currently upgrading our data infrastructure and it has an estimated 3 - 5 year lifespan once complete,3,Most of our infrastructure is refreshed and have a decent longevity but there are pockets of legacy infrastructure which require uplift,4,"Yes, we have recently refreshed our data infrastructure and we are comfortable for the medium term",5,"Yes, we use the latest blend of cloud and self-managed data infrastructure, which is future proof for the long term, we use different types of storage infrastructure and use specialist tooling to monitor and review the costs regularly",6
9,11,Is data stored in secure locations and protected from cyber-threats?,1,We have no idea,1,"No, but we know what data should be securely stored",2,Either structured or unstructured data is mostly securely encrypted and stored but not both,3,The majority of data is securely stored but there are gaps which are know,4,"Yes, the data stores are all secure, and encrypted",5,"Yes, the data stores are all secure, encrypted and monitored actively",6
9,11,Is the data storage program compliant with storage and management standards and regulations?,1,We don’t know what the regulations are,1,"No, we know the regulations exist and do what we think is correct but nothing formal",2,"There are pockets of compliance, but it is sporadic",3,"Yes, data storage is compliant, but governance is standard across all data domains.  Application of governance is not consistent and there are gaps",4,"Yes, data storage is compliant, but governance is standard across all data domains and applied uniformly",5,"Yes, all storage is compliant with all regulations and data domains are distributed managed with each domains governance managed appropriately",6
9,11,Can the organization quickly increase storage capacity?,1,No,1,"No, but we have a plan to use cloud storage which can burst",2,"No, but there are projects underway to enable capacity to burst",3,"Yes, we have limited capacity which we can burst into, but are limited by technology and/or process",4,"Yes, we can burst into the cloud easily",5,"Yes, we have many options both in the cloud, edge and on-prem depending on volume, cost and speed requirements",6
9,11,"Are existing cloud storage services sufficient, and do they provide value for money?",1,We do not use any cloud storage,1,We have started planning and trialing cloud storage,2,We use basic cloud storage but don’t track the economics of it,3,"We use basic cloud storage, but economic viability is in question",4,"Yes, we have a single cloud approach and use cloud storage options well to optimise cost",5,"Yes, we use various cloud storage options across multiple clouds, enabling significant choice",6
9,11,Has the organization made environmental considerations for data storage?,1,"No, this is not a priority",1,"No, but we know we need to",2,We know what we need to report on but have not started implementing any plan,3,"We understand what we need to report on, we gather some of the metrics, but it is not holistic enough for full reporting",4,"We report on our storage in our sustainability reporting, but it is based on industry standards it is not specific to our business",5,"Yes, we know the exact environmental cost of our storage and report on it as part of our sustainability reporting",6
9,11, Is the data storage sufficient for a disaster recovery situation?,1,We have no data DR plan,1,"No, we have a DR plan and know what we need but do not have the storage required",2,We are in the process of provisioning the storage we require,3,We have excess storage but have not aligned it to the DR plan,4,"Yes, we have sufficient storage as per plan, but have not tested it",5,"Yes, we have sufficient storage and have run DR tests to ensure this is accurate",6
9,11,Do you use AI as part of your data operations management?,1,No,1,We are investigating if AI can be used in our business,2,We have some AI POCs in progress,3,We are use small examples of AI for specific use cases,4,"Yes, we use AI, but it is not very mature",5,"Yes, we use a very mature AIOPS approach",6
9,11,How confident are you that your answers for this section are correct and offer a fair and balanced view?,1,0% confident,1,20-30% confident,2,40-50% confident,3,60-70% confident,4,80-90% confident,5,100% confident,6
